time	V(triangle)
3.424960993488012e-004	9.142786e-002
3.426014260960262e-004	9.194123e-002
3.427869254357899e-004	9.275011e-002
6.399999999999999e-004	1.357442e+000
6.449999999999997e-004	1.378712e+000
6.450239256007954e-004	1.381463e+000
6.450717768023868e-004	1.384833e+000
6.450950778504588e-004	1.385367e+000
6.451121635406652e-004	1.385363e+000
6.451366386461196e-004	1.385345e+000
6.451633578807466e-004	1.385144e+000
6.451923665549315e-004	1.384799e+000
6.452268086082468e-004	1.384479e+000
6.452642943280493e-004	1.384296e+000
6.453347051216824e-004	1.384297e+000
6.454755267089486e-004	1.384855e+000
6.457000736024478e-004	1.385971e+000
6.459349473385209e-004	1.386989e+000
6.462217496682621e-004	1.388259e+000
6.465308826881840e-004	1.389696e+000
6.471491487280278e-004	1.391688e+000
6.473766151241164e-004	1.391636e+000
6.475021988495405e-004	1.391712e+000
6.475889623061160e-004	1.391864e+000
6.476880956458302e-004	1.391855e+000
6.478022477640170e-004	1.391788e+000
6.480167989519111e-004	1.391555e+000
6.482418980435778e-004	1.390790e+000
6.483845039127346e-004	1.389796e+000
6.484727455226755e-004	1.389249e+000
6.486652159889885e-004	1.388524e+000
6.488010685284651e-004	1.387985e+000
6.489252644012733e-004	1.387467e+000
6.491208122622726e-004	1.386655e+000
6.495119079842730e-004	1.384950e+000
6.500000000000013e-004	1.382735e+000
6.500025906302429e-004	1.382187e+000
6.500077718907260e-004	1.381136e+000
6.500181344116923e-004	1.379335e+000
6.500285196323549e-004	1.378124e+000
6.500446776610738e-004	1.377187e+000
6.500550751474161e-004	1.376908e+000
6.500687052938790e-004	1.376637e+000
6.500834897123619e-004	1.376336e+000
6.501038122598002e-004	1.376126e+000
6.501265099167885e-004	1.376210e+000
6.501515322444602e-004	1.376484e+000
6.501831457110911e-004	1.376844e+000
6.502263114680374e-004	1.377234e+000
6.502966392173890e-004	1.377532e+000
6.503703303235141e-004	1.377447e+000
6.504486030977901e-004	1.377104e+000
6.505482057396154e-004	1.376605e+000
6.507060647479752e-004	1.375886e+000
9.566874999975637e-004	7.388142e-002
9.620000000000011e-004	5.127694e-002
9.620253185686281e-004	4.846786e-002
9.620759557058822e-004	4.507430e-002
9.620993023785034e-004	4.459320e-002
9.621169104429856e-004	4.462374e-002
9.621417053920188e-004	4.467628e-002
9.621697575249236e-004	4.491355e-002
9.621996102363879e-004	4.526157e-002
9.622376830496892e-004	4.558256e-002
9.622773772085588e-004	4.574015e-002
9.623446374646457e-004	4.569825e-002
9.624582255961089e-004	4.522685e-002
9.626717761143568e-004	4.415504e-002
9.628939247474030e-004	4.318294e-002
9.631602967704756e-004	4.201304e-002
9.634503240306628e-004	4.064172e-002
9.640303785510354e-004	3.840269e-002
9.642427926068488e-004	3.825628e-002
9.643920026161951e-004	3.826025e-002
9.645217640613501e-004	3.815951e-002
9.646608249095582e-004	3.816990e-002
9.649033604950119e-004	3.837624e-002
9.652962819212251e-004	3.960966e-002
9.654795444182084e-004	4.078402e-002
9.655831212765607e-004	4.127919e-002
9.656735346559500e-004	4.151236e-002
9.659697636939142e-004	4.270322e-002
9.661964468849586e-004	4.366082e-002
9.665466336179086e-004	4.518681e-002
9.670000000000008e-004	4.732594e-002
9.670024941142927e-004	4.786371e-002
9.670074823428746e-004	4.885872e-002
9.670174588000402e-004	5.050910e-002
9.670319282429271e-004	5.209874e-002
9.670469290378424e-004	5.290428e-002
9.670579506038148e-004	5.316588e-002
9.670732516954377e-004	5.346780e-002
9.670890767734253e-004	5.374642e-002
9.671109992356649e-004	5.386964e-002
9.671346748403534e-004	5.370513e-002
9.671607001012685e-004	5.340035e-002
9.671925759546646e-004	5.305675e-002
9.672543505540379e-004	5.260957e-002
9.673368176752097e-004	5.248015e-002
9.674200902644072e-004	5.274843e-002
9.675181512734388e-004	5.324242e-002
9.676253236403001e-004	5.375545e-002
1.010159125770023e-003	2.347466e-001
1.052692927899745e-003	4.157373e-001
1.095226730029467e-003	5.967278e-001
1.137760532159190e-003	7.777178e-001
1.180294334288912e-003	9.587075e-001
1.222828136418634e-003	1.139697e+000
1.265361938548357e-003	1.320686e+000
1.270000000000000e-003	1.340428e+000
1.270022232037232e-003	1.343088e+000
1.270066696111696e-003	1.346408e+000
1.270090144698644e-003	1.347018e+000
1.270106681503541e-003	1.347050e+000
1.270130932188944e-003	1.347070e+000
1.270157105699811e-003	1.346904e+000
1.270185409695004e-003	1.346568e+000
1.270217048421748e-003	1.346251e+000
1.270253056259611e-003	1.346046e+000
1.270325071935334e-003	1.345998e+000
1.270469103286780e-003	1.346523e+000
1.270686142225880e-003	1.347610e+000
1.270891301900881e-003	1.348505e+000
1.271167831094355e-003	1.349718e+000
1.271464313408575e-003	1.351115e+000
1.272057278037017e-003	1.353309e+000
1.272280317861351e-003	1.353416e+000
1.272424169350563e-003	1.353436e+000
1.272539467861681e-003	1.353549e+000
1.272665724005943e-003	1.353536e+000
1.272850584451120e-003	1.353429e+000
1.273182766764393e-003	1.352704e+000
1.273360487453426e-003	1.351719e+000
1.273501278499425e-003	1.350873e+000
1.273653931251954e-003	1.350253e+000
1.273960276037194e-003	1.349034e+000
1.274239009879365e-003	1.347856e+000
1.274607352137821e-003	1.346242e+000
1.275000000000000e-003	1.344379e+000
1.275002256125172e-003	1.343896e+000
1.275006768375515e-003	1.342981e+000
1.275015792876201e-003	1.341419e+000
1.275029185309756e-003	1.339805e+000
1.275043415615809e-003	1.338911e+000
1.275054479596742e-003	1.338610e+000
1.275068289987483e-003	1.338334e+000
1.275083250923851e-003	1.338037e+000
1.275103979029274e-003	1.337829e+000
1.275127096605580e-003	1.337917e+000
1.275152681744137e-003	1.338199e+000
1.275185099694457e-003	1.338570e+000
1.275227910931870e-003	1.338952e+000
1.275298584437760e-003	1.339238e+000
1.275372210871734e-003	1.339144e+000
1.275451178644835e-003	1.338794e+000
1.275551401338870e-003	1.338292e+000
1.275708156997974e-003	1.337580e+000
1.582000000000000e-003	3.425498e-002
1.587000000000000e-003	1.297865e-002
1.587023965096643e-003	1.022883e-002
1.587071895289928e-003	6.861439e-003
1.587095132663538e-003	6.330444e-003
1.587112245906186e-003	6.333690e-003
1.587136694182745e-003	6.353157e-003
1.587163569710887e-003	6.556363e-003
1.587192667732140e-003	6.901330e-003
1.587227418831719e-003	7.222746e-003
1.587265085150631e-003	7.404303e-003
1.587335404509765e-003	7.399696e-003
1.587476043228035e-003	6.839804e-003
1.587701500145675e-003	5.720154e-003
1.587935885581022e-003	4.704170e-003
1.588222760161500e-003	3.433462e-003
1.588531597660115e-003	1.998360e-003
1.589149272657344e-003	1.704468e-006
1.589369773300840e-003	5.812077e-005
1.589493394144673e-003	-1.171980e-005
1.589578941163258e-003	-1.641121e-004
1.589676782900710e-003	-1.603981e-004
1.589791949672115e-003	-9.554763e-005
1.590013733279706e-003	1.447939e-004
