time	V(vin)	V(vout)
5.635742187499963e-004	9.049479e-002	-8.765743e-001
5.733398437499961e-004	1.555990e-001	-8.380610e-001
5.831054687499958e-004	2.207031e-001	-7.922942e-001
5.928710937499956e-004	2.858073e-001	-7.397456e-001
5.977539062499955e-004	3.183594e-001	-7.110720e-001
6.026367187499954e-004	3.509115e-001	-6.808738e-001
6.075195312499953e-004	3.834635e-001	-6.492057e-001
6.124023437499952e-004	4.160156e-001	-6.161214e-001
6.172851562499951e-004	4.485677e-001	-5.816733e-001
6.221679687499950e-004	4.811198e-001	-5.459124e-001
6.270507812499949e-004	5.136719e-001	-5.088887e-001
6.319335937499948e-004	5.462239e-001	-4.706506e-001
6.368164062499947e-004	5.787761e-001	-4.312450e-001
6.416992187499946e-004	6.113281e-001	-3.907180e-001
6.465820312499945e-004	6.438802e-001	-3.491137e-001
6.514648437499944e-004	6.764323e-001	-3.064752e-001
6.612304687499942e-004	7.415364e-001	-2.182609e-001
6.661132812499941e-004	7.740886e-001	-1.727644e-001
6.709960937499940e-004	8.066406e-001	-1.263922e-001
6.758789062499939e-004	8.391927e-001	-7.918073e-002
6.807617187499938e-004	8.717448e-001	-3.116497e-002
6.856445312499937e-004	9.042969e-001	1.762124e-002
6.905273437499936e-004	9.368489e-001	6.714533e-002
6.999999999999997e-004	1.000000e+000	1.650480e-001
7.014648437499997e-004	9.902344e-001	1.804455e-001
7.034179687499995e-004	9.772136e-001	2.010336e-001
7.073242187499995e-004	9.511719e-001	2.422500e-001
7.122070312499994e-004	9.186198e-001	2.936108e-001
7.170898437499993e-004	8.860677e-001	3.444820e-001
7.219726562499992e-004	8.535156e-001	3.944989e-001
7.268554687499991e-004	8.209636e-001	4.433388e-001
7.317382812499990e-004	7.884114e-001	4.907221e-001
7.366210937499989e-004	7.558594e-001	5.364088e-001
7.415039062499988e-004	7.233073e-001	5.801935e-001
7.463867187499987e-004	6.907552e-001	6.219032e-001
7.512695312499986e-004	6.582031e-001	6.613929e-001
7.561523437499985e-004	6.256511e-001	6.985438e-001
7.610351562499984e-004	5.930989e-001	7.332596e-001
7.659179687499983e-004	5.605469e-001	7.654650e-001
7.708007812499982e-004	5.279948e-001	7.951028e-001
7.756835937499981e-004	4.954427e-001	8.221323e-001
7.854492187499979e-004	4.303385e-001	8.682750e-001
7.952148437499976e-004	3.652344e-001	9.038297e-001
8.049804687499974e-004	3.001302e-001	9.288943e-001
8.147460937499972e-004	2.350260e-001	9.436905e-001
8.196289062499971e-004	2.024740e-001	9.473331e-001
8.245117187499970e-004	1.699219e-001	9.485320e-001
8.293945312499969e-004	1.373698e-001	9.473368e-001
