time	V(iterative)	V(recursive)
2.561788706008849e-002	-1.318704e-001	-6.758277e-002
2.565985601400339e-002	-1.326932e-001	-6.594358e-002
2.570868413900340e-002	-1.320646e-001	-6.289092e-002
2.575751226400340e-002	-1.297792e-001	-5.866819e-002
2.580634038900340e-002	-1.258136e-001	-5.329126e-002
2.585516851400340e-002	-1.202278e-001	-4.684074e-002
2.590399663900340e-002	-1.131029e-001	-3.941627e-002
2.595282476400340e-002	-1.045405e-001	-3.113523e-002
2.600165288900340e-002	-9.466060e-002	-2.213101e-002
2.605048101400340e-002	-8.359961e-002	-1.255105e-002
2.609930913900340e-002	-7.150866e-002	-2.554726e-003
2.614813726400340e-002	-5.855099e-002	7.689032e-003
2.619696538900340e-002	-4.489959e-002	1.800426e-002
2.624579351400340e-002	-3.073453e-002	2.821059e-002
2.629462163900340e-002	-1.624030e-002	3.812595e-002
2.634344976400340e-002	-1.603021e-003	4.756937e-002
2.639227788900340e-002	1.299229e-002	5.636369e-002
2.644110601400341e-002	2.736447e-002	6.433827e-002
2.648993413900341e-002	4.133889e-002	7.133169e-002
2.653876226400341e-002	5.474996e-002	7.719418e-002
2.658759038900341e-002	6.744353e-002	8.178999e-002
2.663641851400341e-002	7.927918e-002	8.499956e-002
2.668524663900341e-002	9.013206e-002	8.672144e-002
2.673407476400341e-002	9.989478e-002	8.687391e-002
2.678290288900341e-002	1.084788e-001	8.539640e-002
2.683173101400341e-002	1.158681e-001	8.231832e-002
2.687272381041527e-002	1.210860e-001	7.844841e-002
2.691165397471010e-002	1.250849e-001	7.355524e-002
2.696048209971010e-002	1.288935e-001	6.591286e-002
2.700931022471010e-002	1.314522e-001	5.674298e-002
2.705813834971010e-002	1.327240e-001	4.602994e-002
2.710696647471010e-002	1.327599e-001	3.386481e-002
2.715579459971010e-002	1.316303e-001	2.035957e-002
2.720462272471010e-002	1.294239e-001	5.645587e-003
2.725345084971010e-002	1.262463e-001	-1.012805e-002
2.730227897471010e-002	1.222176e-001	-2.679656e-002
2.735110709971010e-002	1.174709e-001	-4.418171e-002
2.739993522471011e-002	1.121498e-001	-6.209421e-002
2.744876334971011e-002	1.064061e-001	-8.033630e-002
2.749759147471011e-002	1.003969e-001	-9.870449e-002
2.754641959971011e-002	9.428246e-002	-1.169923e-001
2.759524772471011e-002	8.822334e-002	-1.349933e-001
2.764407584971011e-002	8.237760e-002	-1.525037e-001
2.769290397471011e-002	7.689828e-002	-1.693252e-001
2.774173209971011e-002	7.193086e-002	-1.852679e-001
2.779056022471011e-002	6.761076e-002	-2.001527e-001
2.783938834971011e-002	6.406111e-002	-2.138139e-001
2.788821647471011e-002	6.139064e-002	-2.261015e-001
2.793704459971011e-002	5.969179e-002	-2.368828e-001
2.798587272471011e-002	5.903912e-002	-2.460448e-001
2.803470084971011e-002	5.948798e-002	-2.534952e-001
2.808352897471012e-002	6.100884e-002	-2.592669e-001
2.812143820679787e-002	6.299197e-002	-2.624758e-001
2.816117611758027e-002	6.590942e-002	-2.644872e-001
2.821000424258027e-002	7.050493e-002	-2.652921e-001
2.825883236758027e-002	7.613509e-002	-2.643414e-001
2.830766049258027e-002	8.279091e-002	-2.615853e-001
2.835648861758027e-002	9.039018e-002	-2.570834e-001
2.840531674258027e-002	9.883177e-002	-2.509164e-001
2.845414486758027e-002	1.079970e-001	-2.431855e-001
2.850297299258027e-002	1.177513e-001	-2.340103e-001
2.855180111758027e-002	1.279463e-001	-2.235272e-001
2.860062924258027e-002	1.384217e-001	-2.118870e-001
2.864945736758027e-002	1.490082e-001	-1.992529e-001
2.869828549258027e-002	1.595291e-001	-1.857978e-001
2.874711361758027e-002	1.698040e-001	-1.717017e-001
2.879594174258027e-002	1.796506e-001	-1.571490e-001
2.884476986758027e-002	1.888882e-001	-1.423260e-001
2.889359799258028e-002	1.973399e-001	-1.274178e-001
2.894242611758028e-002	2.048355e-001	-1.126056e-001
2.899125424258028e-002	2.112144e-001	-9.806432e-002
2.904008236758028e-002	2.163276e-001	-8.395965e-002
2.908891049258028e-002	2.200404e-001	-7.044602e-002
2.913773861758028e-002	2.222345e-001	-5.766424e-002
2.918656674258028e-002	2.228097e-001	-4.573949e-002
2.923539486758028e-002	2.216860e-001	-3.477965e-002
2.928422299258028e-002	2.188044e-001	-2.487382e-002
2.933305111758028e-002	2.142327e-001	-1.602282e-002
2.937063075203217e-002	2.094634e-001	-1.001816e-002
2.941087597632276e-002	2.030202e-001	-4.473229e-003
2.945970410132276e-002	1.936063e-001	1.170689e-003
2.950853222632276e-002	1.825380e-001	5.670513e-003
2.955736035132276e-002	1.698069e-001	9.001493e-003
2.960618847632277e-002	1.555056e-001	1.121240e-002
2.965501660132277e-002	1.397478e-001	1.237146e-002
2.970384472632277e-002	1.226664e-001	1.256507e-002
2.975267285132277e-002	1.044127e-001	1.189622e-002
2.980150097632277e-002	8.515335e-002	1.048267e-002
2.985032910132277e-002	6.506887e-002	8.454896e-003
2.989915722632277e-002	4.435092e-002	5.953814e-003
2.994798535132277e-002	2.319974e-002	3.128403e-003
2.999681347632277e-002	1.821484e-003	1.331425e-004
3.004564160132277e-002	-1.957462e-002	-2.874605e-003
3.009446972632277e-002	-4.077908e-002	-5.737262e-003
3.014329785132277e-002	-6.158504e-002	-8.299703e-003
3.019212597632277e-002	-8.179104e-002	-1.041189e-002
3.024095410132277e-002	-1.012038e-001	-1.193144e-002
3.028978222632277e-002	-1.196407e-001	-1.272602e-002
3.033861035132278e-002	-1.369326e-001	-1.267570e-002
3.038743847632278e-002	-1.529254e-001	-1.167496e-002
3.043626660132278e-002	-1.674830e-001	-9.634626e-003
3.048509472632278e-002	-1.804882e-001	-6.483439e-003
3.053392285132278e-002	-1.918449e-001	-2.169420e-003
3.058275097632278e-002	-2.015447e-001	3.294566e-003
3.062438455923352e-002	-2.084457e-001	8.886471e-003
3.066227125191746e-002	-2.134583e-001	1.481907e-002
3.071109937691747e-002	-2.182773e-001	2.352932e-002
3.075992750191747e-002	-2.214001e-001	3.330380e-002
3.080875562691747e-002	-2.227588e-001	4.414261e-002
3.085758375191747e-002	-2.224093e-001	5.595911e-002
3.090641187691747e-002	-2.204289e-001	6.864773e-002
3.095524000191747e-002	-2.169151e-001	8.208533e-002
3.100406812691747e-002	-2.119839e-001	9.613299e-002
3.105289625191747e-002	-2.057679e-001	1.106379e-001
